	id_tweet	created_at	user_name	text
5052	1068179274543374336	2018-11-29 11:25:59	2arrojas	@Elrepublicano9 Bueno y el abogado de Petro es el mismo de Odebrech y Odebrech llegó primero con el Polo a Tunjuelo-Canoas otro hueco corrupto .
5046	1056707186561351681	2018-10-28 19:40:00	2arrojas	@GABRIELGAVIRIA1 @ElJodario Y más porque usan aceras y ciclorutas, no cumplen la mayoría las normas de tránsito.
5092	1060309943327342593	2018-11-07 18:16:04	5Karena	Portal Norte cerrado. Ni @TransMilenio ni @PoliciaColombia ni @SectorMovilidad reportan que pasa
5198	1075009276425502720	2018-12-18 07:45:58	ALEXBARRETOA	@NoticiasCaracol En la localidad de suba en la mayoría de los conjuntos residenciales no hay parqueaderos, y la gente le toca dejar los carros en frente de las porterías , pero lo más ordenado posible, esto de ha vuelto un negocio para las señoras de la policía de tránsito, no hay parqueaderos
5262	1060986364378910720	2018-11-09 15:03:56	ASofiortiz	@DanielSamperO #BuenViernes  #ParoEstudiantil Según @EnriquePenalosa el @TransMilenio es tan bueno, que hasta nos hace viajar en el tiempo: https://t.co/cATE74Blrm
5303	1058181716660097024	2018-11-01 21:19:15	AXELGOMEZR	@SectorMovilidad @TransMilenio @Bocarejo_JP Una inquietud, ya no le habían subido al transporte público?? Porque el pasaste desde hace varios meses ya no era a $1650 sino a $1700 y los conductores ya no cargan monedas de $50 para dar las vueltas. Que descaro.
5304	1049736311509266432	2018-10-09 14:00:14	AXEL_BARON	@EnriquePenalosa tiene sumida a esta ciudad en el 3cer mundo:-Cuando tuvo la oportunidad d construir el metro en su primera alcaldía nos metió @TransMilenio-Ahora q le dejaron los estudios listos para un metro como el d Quito o NY, dice q no le gusta.#CorrupciónMetroElevado
5327	1052964471403147266	2018-10-18 11:47:47	AdmonURosario	“Hay muchas transacciones que todavía son offline, estar en un mapa permite generar más tráfico hacia el punto” @waze #URWebCongress@webcongress @URosario
5371	1059848989699264512	2018-11-06 11:44:24	Aguardientosky	@humanito @vultriaisk Entiendo que esos huecos se rellenaban para que se pudiera grabar en el casete. Uno grababa y rompía la tapa de los huecos.
5441	1048589463268540422	2018-10-06 10:03:04	AlejaUrrutiaR	Esa impresión del que se sube al transmilenio un sábado va tibio.
5550	1047628067898892288	2018-10-03 18:22:50	AlexLargentP	"""""""""""""""@TransMilenio @SeguridadBOG @PoliciaBogota @JGarciaG1 @Bogota @EnriquePenalosa @integracionbta @CulturaenBta @SectorMovilidad @idubogota A qué viene el cuento que es extranjero? Si fuera negro pondrían """"""""""""""""vendedor negro""""""""""""""""? #tuitxenófobo @EnriquePenalosa @DanielSamperO"""""""""""""""
5647	1062805624298315777	2018-11-14 15:33:01	Ambitojuridico	Alcaldes son competentes para fijar tarifas de parqueaderos https://t.co/N9AGUFl8Ta https://t.co/tbjcnlwbQk
5669	1074381091476303872	2018-12-16 14:09:47	AnaMaRami	Todos están guardaditos en sus casas? No leo a nadie quejándose del HIJUEPUTA TRÁFICO DE MIERDA DE HOY 🙄
5673	1063063149530755072	2018-11-15 08:36:20	AnaPico	@TransMilenio #EquipoT hace trabajo en horas valle en portal Tunal. Urgente mejorar frecuencias en horas pico, para lograr resultados efectivos. @EnriquePenalosa
5683	1047539833730727936	2018-10-03 12:32:13	Anaa_Banaanaa	Ahhhhh pero sigan comprándole a los vendedores informales en el sistema 🤬🤬🤬🤬 https://t.co/s1fmH5OFTb
5685	1052961025589432323	2018-10-18 11:34:06	Analitico_Col	¿ Estudiantes ? ..  Cual es la carrera ?    https://t.co/ClCj3jXFtE
35010	1073194033659502594	2018-12-13 07:32:51	AndreaRey	El pasado viernes murió una persona arrojada de una estación de TM por lo lleno que estaba, pasó un bus y la atropelló. De verdad cree este inepto que Bogotá será “la más avanzada del@mundo” con un servicio de transporte mandado a recoger? ¿Nos cree imbéciles? https://t.co/7xS8C4S74o
5758	1067826640191918081	2018-11-28 12:04:44	Andrelifevan	Ya el activismo se esta volviendo una mierdx, por eso no me gusta participar en actividades o manifestaciones lgbtiq....😪😪
5809	1074391396021387264	2018-12-16 14:50:44	AndresDiazBe	@NanyPardo @CarlosCarrilloA @TransMilenio 10. TM7a es mejor que no hacer nada porque se cambian 1500 buses viejos por 140 biarticulados eléctricos o gas, se soterrarán todos los cables desde la 32 a la 200, porque es la misma cra 10a,y porque es la única troncal cuya verdadera competencia directa será el carro particular
5844	1074506254838579200	2018-12-16 22:27:09	AndresDiazBe	@felip_utoguerra @NanyPardo @CarlosCarrilloA @TransMilenio La 26 y 10 las diseñó/contrató Lucho último mes.Samuel no las canceló a cambio de coíma y las dejó un mediocre 85% construidas. Petro sólo las inauguró, dejó diseños/contrato de TransmiCable y una colección de maqueticas.Peñalosa dejará en obra TM Cali/68/100/7a, puentes y vías
5822	1062365405375803392	2018-11-13 10:23:45	AndresDiazBe	@CarlosCarrilloA @dhidalgo65 @TransMilenio @metrodesantiago Sea serio Carlos. La  satisfacción de los usuarios de buses tradicionales no es porque sean mejores sino porque:1. No tienen que caminar hasta un paradero2. Son más baratos3. Pueden pagar sin tarjeta y pedir descuento si entran por la puerta trasera4. Van desocupados
38431	1074702742080421889	2018-12-17 11:27:55	AndresDiazBe	@ingeniero0013 @MiguelSandova1_ @arttesano @TransMilenio Que no obstante es muchísima plata y la cifra está dentro de lo normal. Esta será la troncal más costosa que se va a construir y, reitero, ese precio incluye soterrar cables en 170 cuadras,,4 puentes, un viaducto en la 72, etc.
5852	1059566016529907712	2018-11-05 16:59:58	AndresF83385136	@SantiagoRiber10 @NataliaTrd El q dejo el peor hueco fiscal fue el gobierno de uribe mire quien dejo mas endeudado el pais a quien y despues si hable incapacitado mental x3
5858	1074195806499102720	2018-12-16 01:53:32	AndresFelipeLP	Que ganas de verdad de volver al 2011, cuando toda la mierda de mi vida actual comenzó. Haría todo muy diferente, y tal vez así, no estaría en el hueco lleno de mierda y depresión en el que vivo actualmente.
5862	1057265491394334720	2018-10-30 08:38:30	AndresGaitan6	Por favor ayúdenme señores @TransMilenio con la solicitud. https://t.co/CwKS2aN1gc
5886	1075695221076361216	2018-12-20 05:11:40	AndresYesidRuiz	@felixforero1 @TransMilenio @EnriquePenalosa Y que no se le haga raro que de despedida, el otro año suba el pasaje
5892	1065401755129864192	2018-11-21 19:29:07	Andres_Rios14	@ELTIEMPO Lograron Un Acuerdo.?Eso Quiere Decir Que No Había 5 De Necesidad, Que Si Tal Hueco Fiscal No Existe, Y Que Solo Querían Ponernos A Pagar Coimas Políticas...Una Belleza El Dr Porcino
5910	1062873021243908096	2018-11-14 20:00:50	AndresortizG12	@IvanDuque @MinHacienda @MinTransporteCo @EnriquePenalosa @TransMilenio Coma mierda se necesitaba la financiación para el metro. Más contaminación
